layer,major_class,x,y,value,group,highlight,sample_x,sample_y,uncertainty
overview,Class_01,-8.5,-0.9801916941206026,-0.9801916941206026,tier_0,False,,,0.09074911424722917
overview,Class_02,-7.5,-0.9482930023348884,-0.9482930023348884,tier_1,False,,,0.17606981507161673
overview,Class_03,-6.5,-0.8806417897892798,-0.8806417897892798,tier_2,False,,,0.17082526095311895
overview,Class_04,-5.5,-0.9441553761879025,-0.9441553761879025,tier_3,False,,,0.1053802593569207
overview,Class_05,-4.5,-0.6621303656003321,-0.6621303656003321,tier_0,False,,,0.1256870609971165
overview,Class_06,-3.5,-0.6767044010464669,-0.6767044010464669,tier_1,False,,,0.16076037944012256
overview,Class_07,-2.5,-0.5722097671708452,-0.5722097671708452,tier_2,True,,,0.142496838004198
detail,Class_07,-2.5,-0.5722097671708452,-0.7970217341668226,focus_detail,True,-2.1729686557041292,-0.7970217341668226,
detail,Class_07,-2.5,-0.5722097671708452,-0.27159398516745525,focus_detail,True,-1.8299666354512434,-0.27159398516745525,
detail,Class_07,-2.5,-0.5722097671708452,-1.876114613522534,focus_detail,True,-2.7120320305621237,-1.876114613522534,
detail,Class_07,-2.5,-0.5722097671708452,-0.6662900903426543,focus_detail,True,-2.434357287951624,-0.6662900903426543,
detail,Class_07,-2.5,-0.5722097671708452,-1.2433523195614138,focus_detail,True,-2.3047887305588985,-1.2433523195614138,
detail,Class_07,-2.5,-0.5722097671708452,-1.7128212063768022,focus_detail,True,-2.1386400737297655,-1.7128212063768022,
detail,Class_07,-2.5,-0.5722097671708452,-0.7645802725712785,focus_detail,True,-2.0412333133812224,-0.7645802725712785,
detail,Class_07,-2.5,-0.5722097671708452,-1.0904899039907185,focus_detail,True,-2.1124707600523496,-1.0904899039907185,
detail,Class_07,-2.5,-0.5722097671708452,-2.061325506135069,focus_detail,True,-2.8303138369028984,-2.061325506135069,
detail,Class_07,-2.5,-0.5722097671708452,-0.5343907252915042,focus_detail,True,-1.4297990000066754,-0.5343907252915042,
detail,Class_07,-2.5,-0.5722097671708452,-0.8127043071814,focus_detail,True,-2.2840034654056307,-0.8127043071814,
detail,Class_07,-2.5,-0.5722097671708452,-0.6312478693157377,focus_detail,True,-1.9918575343604172,-0.6312478693157377,
detail,Class_07,-2.5,-0.5722097671708452,-1.1526401037608354,focus_detail,True,-2.386221437142833,-1.1526401037608354,
detail,Class_07,-2.5,-0.5722097671708452,-0.7201448320125624,focus_detail,True,-2.3064534632931477,-0.7201448320125624,
detail,Class_07,-2.5,-0.5722097671708452,-0.9197417361615663,focus_detail,True,-2.439396665984997,-0.9197417361615663,
detail,Class_07,-2.5,-0.5722097671708452,-0.8634284433675672,focus_detail,True,-2.8630573280499565,-0.8634284433675672,
detail,Class_07,-2.5,-0.5722097671708452,-0.4732327983716814,focus_detail,True,-2.408060699653071,-0.4732327983716814,
detail,Class_07,-2.5,-0.5722097671708452,-2.6702110552389664,focus_detail,True,-3.996532792922635,-2.6702110552389664,
detail,Class_07,-2.5,-0.5722097671708452,-1.2451773211679031,focus_detail,True,-3.1434615585292605,-1.2451773211679031,
detail,Class_07,-2.5,-0.5722097671708452,-1.1251158160237962,focus_detail,True,-2.5463490588031625,-1.1251158160237962,
detail,Class_07,-2.5,-0.5722097671708452,-1.0471522458599611,focus_detail,True,-1.9867700702442574,-1.0471522458599611,
detail,Class_07,-2.5,-0.5722097671708452,-1.0250018004045651,focus_detail,True,-1.827387591547857,-1.0250018004045651,
detail,Class_07,-2.5,-0.5722097671708452,-0.6305831576311507,focus_detail,True,-2.328274906837502,-0.6305831576311507,
detail,Class_07,-2.5,-0.5722097671708452,-1.1129791641464246,focus_detail,True,-2.0784651942918315,-1.1129791641464246,
detail,Class_07,-2.5,-0.5722097671708452,-0.9971916528158509,focus_detail,True,-2.9387408639843158,-0.9971916528158509,
detail,Class_07,-2.5,-0.5722097671708452,-1.21110557100954,focus_detail,True,-2.8636235651830946,-1.21110557100954,
detail,Class_07,-2.5,-0.5722097671708452,-0.9419426694648563,focus_detail,True,-2.9484517959432583,-0.9419426694648563,
detail,Class_07,-2.5,-0.5722097671708452,-1.397553226949844,focus_detail,True,-3.4618614568181965,-1.397553226949844,
detail,Class_07,-2.5,-0.5722097671708452,-0.27115489004163684,focus_detail,True,-2.575240254578544,-0.27115489004163684,
detail,Class_07,-2.5,-0.5722097671708452,-1.3014232693938965,focus_detail,True,-1.76571216238824,-1.3014232693938965,
detail,Class_07,-2.5,-0.5722097671708452,-1.4495253646566637,focus_detail,True,-2.397362928727003,-1.4495253646566637,
detail,Class_07,-2.5,-0.5722097671708452,-0.9811930606538704,focus_detail,True,-2.5091201677396078,-0.9811930606538704,
detail,Class_07,-2.5,-0.5722097671708452,0.5107998122179507,focus_detail,True,-2.215525842696992,0.5107998122179507,
detail,Class_07,-2.5,-0.5722097671708452,-1.9347996068256088,focus_detail,True,-3.0398388583351394,-1.9347996068256088,
detail,Class_07,-2.5,-0.5722097671708452,-0.6693019947553276,focus_detail,True,-2.005877322938698,-0.6693019947553276,
detail,Class_07,-2.5,-0.5722097671708452,0.11462338010516104,focus_detail,True,-2.6133103192840728,0.11462338010516104,
detail,Class_07,-2.5,-0.5722097671708452,-1.471376177861044,focus_detail,True,-2.7195227118593768,-1.471376177861044,
detail,Class_07,-2.5,-0.5722097671708452,-2.181607679800976,focus_detail,True,-2.3001411634305526,-2.181607679800976,
detail,Class_07,-2.5,-0.5722097671708452,-1.9540937008617574,focus_detail,True,-3.21833031142436,-1.9540937008617574,
detail,Class_07,-2.5,-0.5722097671708452,-1.1886097992515237,focus_detail,True,-2.1972125858920077,-1.1886097992515237,
detail,Class_07,-2.5,-0.5722097671708452,-1.249465352286321,focus_detail,True,-2.8711668882315857,-1.249465352286321,
detail,Class_07,-2.5,-0.5722097671708452,-1.033083996375082,focus_detail,True,-2.480389335347399,-1.033083996375082,
detail,Class_07,-2.5,-0.5722097671708452,-1.4453003876734964,focus_detail,True,-2.629684338206074,-1.4453003876734964,
detail,Class_07,-2.5,-0.5722097671708452,-1.0583735713944056,focus_detail,True,-2.538220972604021,-1.0583735713944056,
detail,Class_07,-2.5,-0.5722097671708452,-0.6453538623548727,focus_detail,True,-2.99679955077214,-0.6453538623548727,
detail,Class_07,-2.5,-0.5722097671708452,-0.6131113106050797,focus_detail,True,-1.9247246413219226,-0.6131113106050797,
detail,Class_07,-2.5,-0.5722097671708452,-0.9397118320318918,focus_detail,True,-2.696459596918573,-0.9397118320318918,
detail,Class_07,-2.5,-0.5722097671708452,-1.516764771378008,focus_detail,True,-3.242880628106542,-1.516764771378008,
detail,Class_07,-2.5,-0.5722097671708452,-1.4883330866980236,focus_detail,True,-2.3907062750380788,-1.4883330866980236,
detail,Class_07,-2.5,-0.5722097671708452,-1.5333197909839893,focus_detail,True,-2.4382495881505535,-1.5333197909839893,
detail,Class_07,-2.5,-0.5722097671708452,-2.2910142238630935,focus_detail,True,-2.4255110073355963,-2.2910142238630935,
detail,Class_07,-2.5,-0.5722097671708452,-1.6382400670692499,focus_detail,True,-2.9725394322257612,-1.6382400670692499,
detail,Class_07,-2.5,-0.5722097671708452,-1.2362719463799925,focus_detail,True,-2.7988074873854623,-1.2362719463799925,
detail,Class_07,-2.5,-0.5722097671708452,-1.5427496625570651,focus_detail,True,-2.2526351459192804,-1.5427496625570651,
detail,Class_07,-2.5,-0.5722097671708452,-1.1282769307414826,focus_detail,True,-1.9242576491496712,-1.1282769307414826,
detail,Class_07,-2.5,-0.5722097671708452,-1.6073634327915576,focus_detail,True,-2.3959523196948327,-1.6073634327915576,
detail,Class_07,-2.5,-0.5722097671708452,-1.255495857160872,focus_detail,True,-2.9423186312360117,-1.255495857160872,
detail,Class_07,-2.5,-0.5722097671708452,-1.2837485441904177,focus_detail,True,-2.695454861895016,-1.2837485441904177,
detail,Class_07,-2.5,-0.5722097671708452,-0.5977384689280172,focus_detail,True,-1.7655383254424206,-0.5977384689280172,
detail,Class_07,-2.5,-0.5722097671708452,-0.9658534910184121,focus_detail,True,-2.6390416562277097,-0.9658534910184121,
detail,Class_07,-2.5,-0.5722097671708452,-1.4049980205556047,focus_detail,True,-2.574211117867381,-1.4049980205556047,
detail,Class_07,-2.5,-0.5722097671708452,-1.42226830442818,focus_detail,True,-2.6788160723069327,-1.42226830442818,
detail,Class_07,-2.5,-0.5722097671708452,-1.659189443715772,focus_detail,True,-3.791905609472603,-1.659189443715772,
detail,Class_07,-2.5,-0.5722097671708452,-0.28108652597584327,focus_detail,True,-1.9341608929915113,-0.28108652597584327,
detail,Class_07,-2.5,-0.5722097671708452,-1.8737252073540818,focus_detail,True,-2.1676104643641403,-1.8737252073540818,
detail,Class_07,-2.5,-0.5722097671708452,0.17342294614563836,focus_detail,True,-2.2010652300740117,0.17342294614563836,
detail,Class_07,-2.5,-0.5722097671708452,-1.8306391403174973,focus_detail,True,-2.2068557935159236,-1.8306391403174973,
detail,Class_07,-2.5,-0.5722097671708452,-0.867144762910351,focus_detail,True,-2.641558683908286,-0.867144762910351,
detail,Class_07,-2.5,-0.5722097671708452,-1.685756615994776,focus_detail,True,-2.6432124478055354,-1.685756615994776,
detail,Class_07,-2.5,-0.5722097671708452,-1.473675877769522,focus_detail,True,-1.9019877095932034,-1.473675877769522,
detail,Class_07,-2.5,-0.5722097671708452,-1.2157200933930643,focus_detail,True,-2.984813638800073,-1.2157200933930643,
detail,Class_07,-2.5,-0.5722097671708452,-0.632260764611557,focus_detail,True,-2.370698828490821,-0.632260764611557,
detail,Class_07,-2.5,-0.5722097671708452,-1.495371058170743,focus_detail,True,-2.0005304936437818,-1.495371058170743,
detail,Class_07,-2.5,-0.5722097671708452,-1.9319542227660575,focus_detail,True,-2.7297140260420387,-1.9319542227660575,
detail,Class_07,-2.5,-0.5722097671708452,-1.5554461645942612,focus_detail,True,-2.5819171636697704,-1.5554461645942612,
detail,Class_07,-2.5,-0.5722097671708452,-0.12625313796203408,focus_detail,True,-1.8529733146222989,-0.12625313796203408,
